BO_Code,Month,WFYP,NOP
AAY913,2026-04,35371.0,1
AAY913,2026-05,70318.0,2
AAY913,2026-06,47798.48,2
AAZ289,2025-07,238792.8,5
AAZ289,2025-08,437711.7,5
AAZ289,2025-09,420.0,1
AAZ289,2025-10,536089.81,8
AAZ289,2025-11,449718.33,9
AAZ289,2025-12,292363.86,6
AAZ289,2026-01,752533.8,10
AAZ289,2026-02,1466197.62,16
AAZ289,2026-03,123077.41,10
AAZ289,2026-04,120924.0,2
AAZ289,2026-05,215800.0,2
AAZ289,2026-06,53973.0,2
ABA244,2026-03,116552.84,4
ABA244,2026-04,612872.36,4
ABA244,2026-05,2499.55,0
ABA244,2026-06,246903.55,1
ABC877,2025-07,466253.93,5
ABC877,2025-08,209076.9,3
ABC877,2025-09,189748.0,3
ABC877,2025-10,116092.5,1
ABC877,2025-11,161777.0,2
ABC877,2025-12,314136.0,2
ABC877,2026-01,359419.5,10
ABC877,2026-02,111456.96,4
ABC877,2026-03,679396.6,6
ABC877,2026-04,137146.5,1
ABC877,2026-05,22500.0,1
ABD426,2025-07,141484.0,1
ABD426,2025-08,15238.5,1
ABD426,2025-09,88629.05,4
ABD426,2025-10,176934.0,3
ABD426,2025-11,136830.5,2
ABD426,2025-12,139774.81,6
ABD426,2026-01,149754.0,6
ABD426,2026-02,-79772.6,8
ABD426,2026-03,97123.8,4
ABD426,2026-04,18286.2,2
ABD426,2026-05,58636.6,3
ABD426,2026-06,44600.0,1
ABD444,2025-07,120218.34,1
ABD444,2025-09,301920.56,3
ABD444,2025-10,327967.3,4
ABD444,2025-11,426854.38,3
ABD444,2025-12,35282.09,2
ABD444,2026-01,12948.58,2
ABD444,2026-02,464407.09,8
ABD444,2026-03,628007.36,6
ABD444,2026-05,30303.0,1
ABD458,2026-03,11272044.71,10
ABD458,2026-04,10749.14,1
ABD458,2026-06,30294.0,1
ABD486,2026-04,352800.0,1
ABD486,2026-05,707790.4,3
ABD486,2026-06,135442.46,2
ABD515,2025-10,-50443.1,0
ABD515,2025-11,101290.0,1
ABD515,2025-12,144655.5,2
ABD515,2026-01,30000.0,2
ABD515,2026-02,705950.0,4
ABD515,2026-03,1301727.24,8
ABD515,2026-05,450000.0,1
ABD515,2026-06,177565.5,2
ABD857,2025-07,203578.36,4
ABD857,2025-08,396059.64,2
ABD857,2025-09,171978.59,5
ABD857,2025-10,37160.64,1
ABD857,2025-11,1446627.65,3
ABD857,2025-12,1127641.5,3
ABD857,2026-01,100870.0,2
ABD857,2026-02,876204.82,6
ABD857,2026-03,371900.8,4
ABD857,2026-04,-47720.95,1
ABD857,2026-06,0.0,1
ABD875,2025-08,80927.0,2
ABD875,2025-09,35483.0,1
ABD875,2025-10,138180.9,3
ABD875,2025-11,85131.6,3
ABD875,2025-12,301568.98,3
ABD875,2026-01,218857.0,8
ABD875,2026-02,48000.0,2
ABD875,2026-03,353849.6,6
ABD875,2026-04,102945.2,3
ABD875,2026-05,113297.12,1
ABD875,2026-06,49500.0,2
ABF334,2025-08,30477.0,1
ABF334,2025-09,121574.49,3
ABF334,2025-10,30000.0,1
ABF334,2025-11,120000.0,1
ABF334,2025-12,710000.0,2
ABF334,2026-01,-100000.0,0
ABF334,2026-02,120000.0,0
ABF334,2026-03,5103612.74,14
ABG022,2026-05,0.0,1
ABG022,2026-06,675000.0,1
ABH327,2026-01,4499.19,2
ABH327,2026-02,4499.19,0
ABH327,2026-03,333168.0,2
ABH327,2026-04,111961.0,2
ABH337,2026-04,-466945.72,1
ABH337,2026-05,4762257.5,3
ABH337,2026-06,-48530.0,2
ABH342,2025-08,101040.0,1
ABH342,2025-09,89897.75,2
ABH342,2025-10,110555.0,2
ABH342,2025-11,832266.56,4
ABH342,2025-12,399268.0,5
ABH342,2026-01,150681.44,4
ABH342,2026-02,254811.16,2
ABH342,2026-03,1324990.6,6
ABH342,2026-04,53094.93,1
ABH342,2026-05,397752.0,2
ABH342,2026-06,208832.4,2
ABH343,2026-03,697893.6,8
ABH343,2026-04,15000.0,1
ABH343,2026-05,125989.8,4
ABH343,2026-06,115980.0,3
ABH363,2026-04,2023.88,0
ABH363,2026-05,152041.65,2
ABH363,2026-06,1820.0,0
ABH392,2025-07,109099.8,4
ABH392,2025-08,115340.8,3
ABH392,2025-09,975796.4,4
ABH392,2025-10,108583.71,2
ABH392,2025-11,199259.79,4
ABH392,2025-12,140625.99,4
ABH392,2026-01,-108631.32,0
ABH392,2026-02,187712.68,6
ABH392,2026-03,308233.68,8
ABH392,2026-04,47016.84,1
ABH392,2026-05,-33053.56,1
ABH392,2026-06,102994.5,2
ABH406,2025-10,127739.7,2
ABH406,2025-11,320533.53,5
ABH406,2025-12,158177.87,3
ABH406,2026-01,1621103.01,18
ABH406,2026-02,248683.4,6
ABH406,2026-03,3303745.72,22
ABH406,2026-04,131473.47,2
ABH406,2026-05,46382.26,1
ABH406,2026-06,30294.0,1
ABI189,2026-04,117703.96,3
ABI189,2026-05,129839.12,3
ABI189,2026-06,159210.44,2
ABI206,2026-05,93997.12,3
ABI206,2026-06,210175.0,6
ABI223,2026-04,-640606.72,4
ABI223,2026-05,110016.78,2
ABI223,2026-06,36224.7,3
ABI238,2026-05,130882.0,4
ABI238,2026-06,516067.01,3
ABJ778,2026-03,-5287.74,20
ABJ778,2026-04,36906.0,2
ABJ778,2026-05,199407.8,8
ABJ778,2026-06,148212.65,5
ABJ901,2025-07,87811.17,2
ABJ901,2025-08,51055.0,1
ABJ901,2025-09,78288.66,2
ABJ901,2025-10,237552.52,4
ABJ901,2025-11,560977.72,3
ABJ901,2025-12,87389.9,4
ABJ901,2026-01,21222.6,2
ABJ901,2026-02,564031.98,10
ABJ901,2026-03,1163470.79,12
ABJ901,2026-04,119634.17,3
ABJ901,2026-05,97012.2,2
ABJ901,2026-06,10611.3,1
ABJ933,2025-10,34633.2,2
ABJ933,2025-11,229627.3,4
ABJ933,2025-12,12070.78,1
ABJ933,2026-01,162482.95,4
ABJ933,2026-02,16370.4,6
ABJ933,2026-03,2074671.52,20
ABJ933,2026-04,-828959.06,1
ABJ933,2026-06,24158.24,1
ABJ936,2026-03,1971913.48,10
ABJ936,2026-04,-413838.0,3
ABJ936,2026-05,257593.0,4
ABJ936,2026-06,160505.0,2
ABK789,2026-01,101244.0,2
ABK789,2026-02,21333.9,2
ABK789,2026-03,10862627.66,12
ABK789,2026-05,14126.35,2
ABK789,2026-06,919.65,0
ABK825,2025-07,230354.0,3
ABK825,2025-08,150000.0,1
ABK825,2025-09,88251.6,2
ABK825,2025-12,121575.84,2
ABK825,2026-01,-840.72,0
ABK825,2026-02,149647.2,4
ABK825,2026-03,1943623.0,10
ABK825,2026-04,16000.0,1
ABK825,2026-05,70239.92,2
ABK825,2026-06,220000.0,2
ABR985,2026-02,1267065.3,10
ABR985,2026-03,1186956.62,14
ABR985,2026-04,53595.79,1
ABR985,2026-05,665510.46,4
ABR985,2026-06,95832.62,2
ABS099,2025-07,39619.96,3
ABS099,2025-08,27429.3,3
ABS099,2025-09,161471.2,4
ABS099,2025-10,85254.3,3
ABS099,2025-11,82238.5,3
ABS099,2025-12,741235.5,9
ABS099,2026-01,-13077.6,6
ABS099,2026-02,523476.0,8
ABS099,2026-03,316493.6,8
ABS099,2026-04,50490.0,1
ABS099,2026-05,50490.0,1
ABS099,2026-06,73314.63,3
ABS139,2025-07,134036.16,3
ABS139,2025-08,-38917.16,1
ABS139,2025-09,46436.63,1
ABS139,2025-11,23255.81,2
ABS139,2025-12,80373.45,2
ABS139,2026-01,131398.0,4
ABS139,2026-02,201910.0,6
ABS139,2026-03,335065.43,6
ABS139,2026-04,50415.0,1
ABS139,2026-05,35371.0,1
ABS139,2026-06,20184.0,1
ABT680,2026-02,1382432.6,14
ABT680,2026-03,4383662.64,16
ABT680,2026-04,302980.0,3
ABT680,2026-05,950820.6,11
ABT680,2026-06,110000.0,1
ABT695,2026-04,22500.0,1
ABT695,2026-05,51894.0,2
ABT695,2026-06,52250.91,3
ABU030,2025-07,255821.89,5
ABU030,2025-08,397753.1,4
ABU030,2025-09,57500.0,1
ABU030,2025-10,34820.85,1
ABU030,2025-11,224232.6,4
ABU030,2025-12,220641.3,3
ABU030,2026-01,719574.16,6
ABU030,2026-02,252496.0,6
ABU030,2026-03,217663.2,4
ABU030,2026-04,120924.0,1
ABU030,2026-05,150000.0,1
ABU030,2026-06,191673.0,3
ABU099,2025-07,35752.54,2
ABU099,2025-08,20646.18,1
ABU099,2025-09,118795.88,5
ABU099,2025-10,126927.42,2
ABU099,2025-11,194596.23,4
ABU099,2025-12,19212.48,0
ABU099,2026-01,1791899.4,12
ABU099,2026-02,-458850.16,4
ABU099,2026-03,1151014.98,12
ABU099,2026-04,11041.92,0
ABU099,2026-05,140505.04,3
ABU099,2026-06,12190.8,1
ABU633,2026-05,30231.0,1
ABU689,2025-07,114633.7,6
ABU689,2025-08,363385.25,5
ABU689,2025-09,956500.0,6
ABU689,2025-10,-488500.0,4
ABU689,2025-11,84517.0,2
ABU689,2025-12,343601.4,5
ABU689,2026-01,444521.56,8
ABU689,2026-02,544000.0,14
ABU689,2026-03,846954.0,12
ABU689,2026-04,146000.0,3
ABU689,2026-05,362574.95,7
ABU689,2026-06,647670.96,7
ABU712,2026-04,1300007.68,3
ABU712,2026-05,510337.36,1
ABU712,2026-06,480317.52,1
ABU721,2025-07,407377.25,6
ABU721,2025-08,592702.27,8
ABU721,2025-09,57809.93,1
ABU721,2025-11,655640.58,8
ABU721,2025-12,964941.76,5
ABU721,2026-01,494650.42,6
ABU721,2026-02,2011656.68,12
ABU721,2026-03,1717737.73,12
ABU721,2026-04,245013.54,2
ABU721,2026-05,722989.81,4
ABU721,2026-06,527770.2,2
ABW982,2025-07,280077.65,7
ABW982,2025-08,331555.67,6
ABW982,2025-09,230661.1,3
ABW982,2025-10,26250.0,1
ABW982,2025-11,91657.5,3
ABW982,2025-12,358487.1,4
ABW982,2026-01,84596.54,4
ABW982,2026-02,428139.2,10
ABW982,2026-03,285470.84,12
ABW982,2026-04,14143.2,2
ABW982,2026-05,40905.3,2
ABW982,2026-06,101793.15,4
ABW991,2025-10,-164546.01,1
ABW991,2025-11,193748.49,2
ABW991,2025-12,416416.3,5
ABW991,2026-01,34224.69,2
ABW991,2026-02,334177.53,6
ABW991,2026-03,-207441.96,2
ABW991,2026-04,38627.04,1
ABW991,2026-05,113771.04,2
ABW991,2026-06,341362.0,4
ABX524,2026-06,42000.0,1
ABX717,2025-07,231998.0,2
ABX717,2025-08,96286.9,5
ABX717,2025-09,74068.66,4
ABX717,2025-11,140201.6,5
ABX717,2025-12,169894.2,4
ABX717,2026-01,111126.0,4
ABX717,2026-02,306583.17,10
ABX717,2026-03,349726.52,10
ABX717,2026-04,148497.6,2
ABX717,2026-05,45211.6,2
ABX717,2026-06,53172.8,2
ABY635,2025-07,235419.51,5
ABY635,2025-08,254311.87,4
ABY635,2025-09,223347.94,6
ABY635,2025-10,49982.28,2
ABY635,2025-11,781235.46,3
ABY635,2025-12,85845.2,2
ABY635,2026-01,90000.0,2
ABY635,2026-02,831038.96,16
ABY635,2026-03,1947374.99,22
ABY635,2026-04,274451.9,2
ABY635,2026-05,44752.01,3
ABY635,2026-06,833.33,0
ABY647,2026-04,48385.89,1
ABY647,2026-05,392946.25,2
ABY647,2026-06,376486.02,3
ABZ215,2026-01,55067.76,2
ABZ215,2026-02,390396.01,6
ABZ215,2026-03,1230750.76,14
ABZ215,2026-04,8954.51,1
ABZ215,2026-05,224065.52,4
ABZ215,2026-06,82689.52,2
ACB401,2026-02,130686.0,4
ACB401,2026-03,66666.6,2
ACB401,2026-04,30294.0,1
ACB401,2026-05,136502.55,1
ACD128,2026-05,217102.0,2
ACD128,2026-06,80784.0,2
ACD133,2025-10,55674.93,3
ACD133,2025-11,585206.3,5
ACD133,2025-12,70857.0,2
ACD133,2026-01,445416.0,10
ACD133,2026-02,395252.4,8
ACD133,2026-03,1405078.0,10
ACD133,2026-04,40100.4,2
ACD133,2026-05,64820.0,2
ACD133,2026-06,30477.0,1
ACE545,2026-06,96561.6,2
ACG533,2025-08,60000.0,1
ACG533,2025-09,93259.62,2
ACG533,2025-10,263123.22,2
ACG533,2025-11,90516.69,2
ACG533,2025-12,396201.0,2
ACG533,2026-01,18286.2,2
ACG533,2026-04,110800.8,1
ACG533,2026-05,579730.25,3
ACG533,2026-06,10520.0,1
ACG557,2026-01,696722.18,14
ACG557,2026-02,509851.54,6
ACG557,2026-03,1062165.66,14
ACG557,2026-04,149468.69,2
ACG557,2026-05,98218.18,2
ACG557,2026-06,66652.9,2
ACG562,2025-10,266316.89,2
ACG562,2025-11,1906462.67,8
ACG562,2025-12,153006.88,8
ACG562,2026-01,2474037.51,14
ACG562,2026-02,107315.68,6
ACG562,2026-03,2565114.06,16
ACG562,2026-04,71186.84,2
ACG562,2026-05,1258299.43,7
ACG562,2026-06,154083.14,3
ACG599,2025-10,-680680.91,1
ACG599,2025-11,369793.76,3
ACG599,2025-12,58201.61,2
ACG599,2026-01,42949.02,2
ACG599,2026-02,334864.54,8
ACG599,2026-03,165520.42,2
ACG599,2026-04,29168.17,0
ACG599,2026-05,241047.76,3
ACG599,2026-06,57288.73,1
ACG681,2026-01,950984.4,10
ACG681,2026-02,859190.81,16
ACG681,2026-03,1019796.68,2
ACG681,2026-04,413460.01,2
ACG681,2026-05,227469.75,4
ACG681,2026-06,705315.97,9
ACG700,2026-02,405216.52,6
ACG700,2026-03,181095.78,8
ACG700,2026-04,-28618.34,0
ACG700,2026-05,89325.66,3
ACG700,2026-06,1666.66,0
ACI160,2025-07,66751.6,2
ACI160,2025-08,494872.0,6
ACI160,2025-09,116485.5,4
ACI160,2025-11,105671.1,3
ACI160,2025-12,108111.35,3
ACI160,2026-01,266468.4,8
ACI160,2026-02,182502.0,2
ACI160,2026-03,2273448.86,12
ACI160,2026-04,131209.0,3
ACI160,2026-05,212063.0,3
ACI160,2026-06,90849.0,3
ACI192,2025-12,869226.0,2
ACI192,2026-01,-1019443.3,2
ACI192,2026-02,1791146.62,10
ACI192,2026-03,4133464.74,12
ACI192,2026-04,-249811.62,0
ACI192,2026-05,391787.98,1
ACI219,2025-07,-60917.83,0
ACI219,2025-08,100000.0,1
ACI219,2025-09,88080.75,2
ACI219,2025-11,111221.88,1
ACI219,2025-12,344933.73,3
ACI219,2026-02,993016.36,10
ACI219,2026-03,517574.93,8
ACI219,2026-04,147430.0,2
ACI219,2026-05,450000.0,1
ACI219,2026-06,50520.0,1
ACI237,2025-09,381528.6,4
ACI237,2025-10,-116058.0,0
ACI237,2025-11,627695.4,3
ACI237,2025-12,131274.0,1
ACI237,2026-01,1212480.0,2
ACI237,2026-02,30276.0,2
ACI237,2026-03,1416528.0,6
ACI237,2026-04,-476643.46,1
ACI237,2026-05,95391.5,2
ACI279,2025-07,151522.02,1
ACI279,2025-09,699936.93,1
ACI279,2025-10,-174936.93,0
ACI279,2025-11,251000.0,1
ACI279,2026-02,48619.2,2
ACI279,2026-03,2294340.7,8
ACI279,2026-05,20318.0,1
ACI280,2026-04,1614729.7,3
ACI280,2026-05,1803651.7,2
ACI280,2026-06,44936.1,1
ACL969,2026-01,58013.39,2
ACL969,2026-02,653671.62,10
ACL969,2026-03,1373393.68,22
ACL969,2026-04,50520.0,1
ACL969,2026-05,452940.99,2
ACL969,2026-06,322504.6,3
ACM045,2025-08,115000.0,1
ACM045,2025-09,108033.3,4
ACM045,2025-11,303339.0,2
ACM045,2025-12,390000.0,3
ACM045,2026-01,233486.0,2
ACM045,2026-02,100980.0,2
ACM045,2026-03,1749110.0,6
ACM045,2026-04,115579.5,2
ACM045,2026-05,185892.16,5
ACM045,2026-06,40000.0,1
ACM092,2026-05,69294.7,2
ACM092,2026-06,30159.0,2
ACN973,2026-06,1160351.16,5
ACO027,2025-11,146347.0,3
ACO027,2025-12,161849.5,3
ACO027,2026-01,141218.0,2
ACO027,2026-02,245785.04,6
ACO027,2026-03,1040088.2,12
ACO027,2026-04,137146.5,1
ACO027,2026-05,394397.85,7
ACO027,2026-06,357986.92,3
ACO030,2025-07,75198.0,2
ACO030,2025-08,100486.35,2
ACO030,2025-09,15238.5,1
ACO030,2025-10,58063.5,1
ACO030,2025-11,828125.18,6
ACO030,2025-12,696617.28,3
ACO030,2026-01,-56862.87,4
ACO030,2026-02,107394.06,2
ACO030,2026-03,526355.89,12
ACO030,2026-04,6414.06,0
ACO030,2026-05,3207.03,0
ACO030,2026-06,10159.0,1
ACO126,2025-07,153935.9,3
ACO126,2025-08,267840.46,7
ACO126,2025-09,22912.95,1
ACO126,2025-10,14651.82,1
ACO126,2025-11,130045.9,1
ACO126,2025-12,364334.21,6
ACO126,2026-01,270620.69,6
ACO126,2026-02,606356.4,12
ACO126,2026-03,409901.09,8
ACO126,2026-04,445894.4,5
ACO126,2026-05,18093.0,1
ACO126,2026-06,20000.0,1
ACP784,2025-10,75278.19,1
ACP784,2025-12,101260.0,1
ACP784,2026-01,136876.5,2
ACP784,2026-02,0.0,4
ACP784,2026-03,238875.0,6
ACP784,2026-04,40536.0,1
ACP784,2026-05,388287.9,1
ACP784,2026-06,347341.18,1
ACP810,2025-10,598522.3,2
ACP810,2025-11,8866.3,7
ACP810,2025-12,1252785.6,7
ACP810,2026-01,621860.8,8
ACP810,2026-02,583755.0,4
ACP810,2026-03,1863442.87,18
ACP810,2026-04,131259.0,3
ACP810,2026-05,171630.0,5
ACP810,2026-06,30294.0,1
ACP824,2026-04,-2139788.03,1
ACP824,2026-05,122211.97,1
ACP824,2026-06,247440.0,2
ACQ219,2025-07,30477.0,1
ACQ219,2025-08,755076.6,4
ACQ219,2025-09,302959.26,2
ACQ219,2025-10,-57465.5,0
ACQ219,2025-12,64368.58,1
ACQ219,2026-01,-16154.6,4
ACQ219,2026-02,473346.18,10
ACQ219,2026-03,39953.72,6
ACR900,2025-07,46857.87,2
ACR900,2025-08,34831.2,1
ACR900,2025-09,25200.0,1
ACR900,2025-10,69574.77,2
ACR900,2025-11,175758.48,4
ACR900,2025-12,145345.55,4
ACR900,2026-01,354460.92,6
ACR900,2026-02,45878.4,2
ACR900,2026-03,245466.98,8
ACR900,2026-04,30205.8,1
ACR900,2026-05,42334.2,2
ACR900,2026-06,42327.0,2
ACS696,2025-07,50520.06,1
ACS696,2025-08,30477.0,1
ACS696,2025-09,65277.15,2
ACS696,2025-10,466645.78,6
ACS696,2025-11,401725.37,5
ACS696,2025-12,-45528.36,3
ACS696,2026-01,237006.46,8
ACS696,2026-02,1194452.96,16
ACS696,2026-03,348102.01,8
ACS696,2026-04,763534.56,3
ACS696,2026-05,264723.39,7
ACS696,2026-06,1283096.72,2
ACU227,2025-07,50000.0,1
ACU227,2025-10,75000.0,1
ACU227,2025-11,231663.38,4
ACU227,2026-01,550001.0,2
ACU227,2026-02,327906.0,6
ACU227,2026-03,890315.96,10
ACU227,2026-04,-8307.84,1
ACU227,2026-05,271167.97,3
ACU265,2026-01,961884.97,16
ACU265,2026-02,2053386.78,18
ACU265,2026-03,6381546.82,38
ACU265,2026-04,135146.32,6
ACU265,2026-05,354423.4,6
ACU265,2026-06,-52461.66,3
ACU300,2026-04,946.64,2
ACU300,2026-05,407307.68,3
ACU300,2026-06,-194009.21,0
ACU302,2025-10,133131.6,3
ACU302,2025-11,473160.88,8
ACU302,2025-12,127116.16,3
ACU302,2026-01,773637.0,10
ACU302,2026-02,190307.62,10
ACU302,2026-03,774285.2,10
ACU302,2026-04,135691.61,4
ACU302,2026-05,118005.6,4
ACU302,2026-06,373207.64,6
ACW297,2025-10,60640.0,2
ACW297,2025-11,1606329.2,8
ACW297,2025-12,470194.49,7
ACW297,2026-01,511599.14,10
ACW297,2026-02,144377.86,4
ACW297,2026-03,2523.99,0
ACW297,2026-04,111192.33,2
ACW297,2026-05,161514.39,3
ACW297,2026-06,353924.9,4
ACW412,2025-07,28438.28,3
ACW412,2025-08,105751.5,2
ACW412,2025-09,162449.35,4
ACW412,2025-10,95153.3,4
ACW412,2025-11,57739.35,3
ACW412,2025-12,21222.6,1
ACW412,2026-01,226657.37,2
ACW412,2026-02,60498.0,2
ACW412,2026-03,811579.44,12
ACW412,2026-05,21222.6,1
ACW503,2025-09,130379.04,3
ACW503,2025-10,232320.15,4
ACW503,2025-11,215349.35,4
ACW503,2025-12,326274.4,4
ACW503,2026-01,22010.9,2
ACW503,2026-02,321259.7,10
ACW503,2026-03,425872.6,10
ACW503,2026-04,233046.3,3
ACW503,2026-05,93422.4,5
ACW503,2026-06,87847.2,4
ACW554,2025-07,451204.8,6
ACW554,2025-08,171922.35,5
ACW554,2025-09,622109.55,9
ACW554,2025-10,81670.0,4
ACW554,2025-11,226937.6,5
ACW554,2025-12,589241.9,6
ACW554,2026-01,42132.55,6
ACW554,2026-02,579779.04,14
ACW554,2026-03,404401.24,12
ACW554,2026-04,-8026.8,2
ACW554,2026-05,150924.84,5
ACW554,2026-06,135636.2,4
ACX699,2026-04,81804.0,2
ACX699,2026-05,173796.0,3
ACX699,2026-06,119377.28,4
ACZ344,2026-05,168761.8,5
ACZ344,2026-06,247987.02,6
ACZ384,2025-07,115000.0,1
ACZ384,2025-08,62190.8,2
ACZ384,2025-09,359985.6,5
ACZ384,2025-10,58063.5,1
ACZ384,2025-11,370258.58,3
ACZ384,2025-12,637512.06,3
ACZ384,2026-01,139556.0,4
ACZ384,2026-02,913484.8,10
ACZ384,2026-03,450950.84,10
ACZ384,2026-04,555299.5,4
ACZ384,2026-05,5988.86,1
ACZ384,2026-06,3733.02,0
ADA628,2026-03,4815940.22,18
ADA628,2026-04,140246.62,3
ADA628,2026-05,569511.8,3
ADA628,2026-06,50531.99,2
ADA656,2026-01,234315.31,4
ADA656,2026-02,441839.9,10
ADA656,2026-03,289320.78,4
ADA656,2026-04,45000.0,1
ADA656,2026-06,269226.0,4
ADA657,2026-03,7020998.82,6
ADA657,2026-04,50000.0,1
ADA657,2026-05,-2700000.0,0
ADA657,2026-06,60000.0,1
ADB354,2025-08,133731.0,1
ADB354,2025-09,621011.96,4
ADB354,2025-10,95032.34,1
